"Title","Genre","Year","Rating","Duration","Director","Status","Language","Description"
"Bonjour Anne","Comedy","2016","4.9","92","Eleanor Coppola","Watched","","Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »"
"Kynodontas","Drama","2009","7.3","94","Yorgos Lanthimos","Watched","","Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out."
"Straight Outta Compton","Drama","2015","7.9","147","F. Gary Gray","Watched","","The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
"The Amazing Spider-Man 2","Action","2014","6.7","142","Marc Webb","Watched","","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
"The Conjuring","Horror","2013","7.5","112","James Wan","Watched","","Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
"The Hangover","Comedy","2009","7.8","100","Todd Phillips","Watchlist","","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
"Battleship","Action","2012","5.8","131","Peter Berg","Watched","","A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals."
"Rise of the Planet of the Apes","Action","2011","7.6","105","Rupert Wyatt","Watchlist","","A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising."
"Lights Out","Horror","2016","6.4","81","David F. Sandberg","Watchlist","","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother."
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","Drama","2016","7.1","118","Joseph Cedar","Watched","","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse."
"Birdman or (The Unexpected Virtue of Ignorance)","Comedy","2014","7.8","119","Alejandro González Iñárritu","Watchlist","","Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown."
"Black Swan","Drama","2010","8.0","108","Darren Aronofsky","Watchlist","","A committed dancer wins the lead role in a production of Tchaikovsky's 'Swan Lake' only to find herself struggling to maintain her sanity."
"Dear White People","Comedy","2014","6.2","108","Justin Simien","Watchlist","","The lives of four black students at an Ivy League college."
"Nymphomaniac: Vol. I","Drama","2013","7.0","117","Lars von Trier","Watched","","A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating."
"Teenage Mutant Ninja Turtles: Out of the Shadows","Action","2016","6.0","112","Dave Green","Watched","","After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang."
"Knock Knock","Drama","2015","4.9","99","Eli Roth","Watchlist","","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
"Dirty Grandpa","Comedy","2016","6.0","102","Dan Mazer","Watched","","Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break."
"Cloud Atlas","Drama","2012","7.5","172","Tom Tykwer","Watchlist","","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
"X-Men Origins: Wolverine","Action","2009","6.7","107","Gavin Hood","Currently Watching","","A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years."
"Satanic","Horror","2016","3.7","85","Jeffrey G. Hunt","Watched","","Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror."
"Skyfall","Action","2012","7.8","143","Sam Mendes","Watched","","Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
"The Hobbit: An Unexpected Journey","Fantasy","2012","7.9","169","Peter Jackson","Watched","","A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug."
"21 Jump Street","Action","2012","7.2","110","Phil Lord","Watched","","A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
"Sing Street","Comedy","2016","8.0","106","John Carney","Watched","","A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes."
"Ballerina","Comedy","2016","6.8","89","Eric Summer","Watched","","An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
"Oblivion","Action","2013","7.0","124","Joseph Kosinski","Watched","","A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself."
"22 Jump Street","Action","2014","7.1","112","Phil Lord","Watched","","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
"Zodiac","Drama","2007","7.7","157","David Fincher","Watched","","In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
"Everybody Wants Some!!","Comedy","2016","7.0","117","Richard Linklater","Watched","","In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood."
"Iron Man Three","Action","2013","7.2","130","Shane Black","Watched","","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
"Now You See Me","Thriller","2013","7.3","115","Louis Leterrier","Watched","","An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money."
"Sherlock Holmes","Action","2009","7.6","128","Guy Ritchie","Watchlist","","Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England."
"Death Proof","Thriller","2007","7.1","113","Quentin Tarantino","Watched","","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his 'death proof' cars to execute his murderous plans."
"The Danish Girl","Drama","2015","7.0","119","Tom Hooper","Watched","","A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer."
"Hercules","Action","2014","6.0","98","Brett Ratner","Watched","","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
"Sucker Punch","Action","2011","6.1","110","Zack Snyder","Watchlist","","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape."
"Keeping Up with the Joneses","Action","2016","5.8","105","Greg Mottola","Watched","","A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies."
"Jupiter Ascending","Action","2015","5.3","127","Lana Wachowski","Watched","","A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry."
"Masterminds","Action","2016","5.8","95","Jared Hess","Watchlist","","A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery."
"Iris","Thriller","2016","6.1","99","Jalil Lespert","Watchlist","","Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police."
"Busanhaeng","Action","2016","7.5","118","Sang-ho Yeon","Watched","","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
"Pitch Perfect","Comedy","2012","7.2","112","Jason Moore","Watched","","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
"Neighbors 2: Sorority Rising","Comedy","2016","5.7","92","Nicholas Stoller","Watched","","When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down."
"The Exception","Drama","2016","7.7","107","David Leveaux","Watchlist","","A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation."
"Man of Steel","Action","2013","7.1","143","Zack Snyder","Watched","","Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
"The Choice","Drama","2016","6.6","111","Ross Katz","Watchlist","","Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events."
"Ice Age: Collision Course","Comedy","2016","5.7","94","Mike Thurmeier","Watched","","Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world."
"The Devil Wears Prada","Comedy","2006","6.8","109","David Frankel","Watched","","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
"The Infiltrator","Drama","2016","7.1","127","Brad Furman","Watched","","A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar."
"There Will Be Blood","Drama","2007","8.1","158","Paul Thomas Anderson","Watched","","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
"The Equalizer","Action","2014","7.2","132","Antoine Fuqua","Watched","","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her."
"Lone Survivor","Action","2013","7.5","121","Peter Berg","Watched","","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
"The Cabin in the Woods","Horror","2012","7.0","95","Drew Goddard","Watched","","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
"The House Bunny","Comedy","2008","5.5","97","Fred Wolf","Watched","","After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
"She's Out of My League","Comedy","2010","6.4","104","Jim Field Smith","Watched","","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
"Inherent Vice","Comedy","2014","6.7","148","Paul Thomas Anderson","Watchlist","","In 1970, drug-fueled Los Angeles private investigator Larry 'Doc' Sportello investigates the disappearance of a former girlfriend."
"Alice Through the Looking Glass","Fantasy","2016","6.2","113","James Bobin","Watched","","Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter."
"Vincent N Roxxy","Drama","2016","5.5","110","Gary Michael Schultz","Watchlist","","A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere."
"The Fast and the Furious: Tokyo Drift","Action","2006","6.0","104","Justin Lin","Watched","","A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America."
"How to Be Single","Comedy","2016","6.1","110","Christian Ditter","Watched","","A group of young adults navigate love and relationships in New York City."
"The Blind Side","Drama","2009","7.7","129","John Lee Hancock","Watched","","The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family."
"La vie d'Adèle","Drama","2013","7.8","180","Abdellatif Kechiche","Watched","","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
"The Babadook","Drama","2014","6.8","93","Jennifer Kent","Watched","","A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
"The Hobbit: The Battle of the Five Armies","Fantasy","2014","7.4","144","Peter Jackson","Watchlist","","Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness."
"Harry Potter and the Order of the Phoenix","Fantasy","2007","7.5","138","David Yates","Watched","","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
"Snowpiercer","Action","2013","7.0","126","Bong Joon Ho","Watchlist","","Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
"The 5th Wave","Action","2016","5.2","112","J Blakeson","Watchlist","","Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."
"The Stakelander","Action","2016","5.3","81","Dan Berk","Watchlist","","When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him."
"The Visit","Comedy","2015","6.2","94","M. Night Shyamalan","Watched","","Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation."
"Fast Five","Action","2011","7.3","131","Justin Lin","Watched","","Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent."
"Step Up","Drama","2006","6.5","104","Anne Fletcher","Watched","","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora."
"Lovesong","Drama","2016","6.4","84","So Yong Kim","Watchlist","","The relationship between two friends deepens during an impromptu road trip."
"RocknRolla","Action","2008","7.3","114","Guy Ritchie","Watchlist","","In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »"
"In Time","Action","2011","6.7","109","Andrew Niccol","Watched","","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
"The Social Network","Drama","2010","7.7","120","David Fincher","Watchlist","","Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business."
"The Last Witch Hunter","Action","2015","6.0","106","Breck Eisner","Watched","","The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history."
"Victor Frankenstein","Drama","2015","6.0","110","Paul McGuigan","Watchlist","","Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today."
"A Street Cat Named Bob","Comedy","2016","7.4","103","Roger Spottiswoode","Watched","","Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat."
"Green Room","Horror","2015","7.0","95","Jeremy Saulnier","Watchlist","","A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar."
"Blackhat","Drama","2015","5.4","133","Michael Mann","Watched","","A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta."
"Storks","Comedy","2016","6.9","87","Nicholas Stoller","Watched","","Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
"American Sniper","Action","2014","7.3","133","Clint Eastwood","Watched","","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind."
"Dallas Buyers Club","Drama","2013","8.0","117","Jean-Marc Vallée","Watchlist","","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
"Lincoln","Drama","2012","7.4","150","Steven Spielberg","Watched","","As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
"Rush","Action","2013","8.1","123","Ron Howard","Watchlist","","The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda."
"Before I Wake","Drama","2016","6.1","97","Mike Flanagan","Currently Watching","","A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps."
"Silver Linings Playbook","Comedy","2012","7.8","122","David O. Russell","Watched","","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
"Tracktown","Drama","2016","5.9","88","Alexi Pappas","Watched","","A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off."
"The Fault in Our Stars","Drama","2014","7.8","126","Josh Boone","Watched","","Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam."
"Blended","Comedy","2014","6.5","117","Frank Coraci","Watched","","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
"Fast & Furious","Action","2009","6.6","107","Justin Lin","Watched","","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
"Looper","Action","2012","7.4","119","Rian Johnson","Watched","","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
"White House Down","Action","2013","6.4","131","Roland Emmerich","Watched","","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
"Pete's Dragon","Fantasy","2016","6.8","102","David Lowery","Watched","","The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon."
"Spider-Man 3","Action","2007","6.2","139","Sam Raimi","Watchlist","","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
"The Three Musketeers","Action","2011","5.8","110","Paul W.S. Anderson","Watchlist","","The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war."
"Stardust","Fantasy","2007","7.7","127","Matthew Vaughn","Watched","","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
"American Hustle","Drama","2013","7.3","138","David O. Russell","Watched","","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia."
"Jennifer's Body","Comedy","2009","5.1","102","Karyn Kusama","Watchlist","","A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?"
"Midnight in Paris","Comedy","2011","7.7","94","Woody Allen","Watchlist","","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
"Lady Macbeth","Drama","2016","7.3","89","William Oldroyd","Watchlist","","Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate."
"Joy","Drama","2015","6.6","124","David O. Russell","Watchlist","","Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty."
"The Dressmaker","Comedy","2015","7.1","119","Jocelyn Moorhouse","Watchlist","","A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
"Café Society","Comedy","2016","6.7","96","Woody Allen","Watched","","In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man."
"Insurgent","Sci-Fi","2015","6.3","119","Robert Schwentke","Watched","","Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side."
"Seventh Son","Action","2014","5.5","102","Sergei Bodrov","Watched","","When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him."
"Demain tout commence","Comedy","2016","7.4","118","Hugo Gélin","Watchlist","","Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »"
"The Theory of Everything","Drama","2014","7.7","123","James Marsh","Watchlist","","A look at the relationship between the famous physicist Stephen Hawking and his wife."
"This Is the End","Comedy","2013","6.6","107","Evan Goldberg","Watched","","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse."
"About Time","Comedy","2013","7.8","123","Richard Curtis","Watchlist","","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
"Step Brothers","Comedy","2008","6.9","98","Adam McKay","Watchlist","","Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry."
"Clown","Horror","2014","5.7","100","Jon Watts","Watched","","A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all."
"Star Trek Into Darkness","Action","2013","7.8","132","J.J. Abrams","Watched","","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
"Zombieland","Comedy","2009","7.7","88","Ruben Fleischer","Watched","","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
"Hail, Caesar!","Comedy","2016","6.3","106","Ethan Coen","Watched","","A Hollywood fixer in the 1950s works to keep the studio's stars in line."
"Slumdog Millionaire","Drama","2008","8.0","120","Danny Boyle","Watchlist","","A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of 'Who Wants to be a Millionaire?'"
"The Twilight Saga: Breaking Dawn - Part 2","Drama","2012","5.5","115","Bill Condon","Watchlist","","After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
"American Wrestler: The Wizard","Drama","2016","6.9","117","Alex Ranarivelo","Watched","","In 1980, a teenage boy escapes the unrest in Iran only to face more hostility in America, due to the hostage crisis. Determined to fit in, he joins the school's floundering wrestling team."
"The Amazing Spider-Man","Action","2012","7.0","136","Marc Webb","Watchlist","","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
"Ben-Hur","Action","2016","5.7","123","Timur Bekmambetov","Watchlist","","Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
"Sleight","Action","2016","6.0","89","J.D. Dillard","Watched","","A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »"
"The Maze Runner","Action","2014","6.8","113","Wes Ball","Watchlist","","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow 'runners' for a shot at escape."
"Criminal","Action","2016","6.3","113","Ariel Vromen","Watched","","In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission."
"Wanted","Action","2008","6.7","110","Timur Bekmambetov","Watchlist","","A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
"Florence Foster Jenkins","Comedy","2016","6.9","111","Stephen Frears","Watched","","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice."
"Collide","Action","2016","5.7","99","Eran Creevy","Watchlist","","An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn."
"Black Mass","Drama","2015","6.9","123","Scott Cooper","Watchlist","","The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
"Creed","Drama","2015","7.6","133","Ryan Coogler","Watched","","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
"Swiss Army Man","Comedy","2016","7.1","97","Dan Kwan","Watched","","A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home."
"The Expendables 3","Action","2014","6.1","126","Patrick Hughes","Watchlist","","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
"What We Do in the Shadows","Comedy","2014","7.6","86","Jemaine Clement","Currently Watching","","A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too."
"Southpaw","Drama","2015","7.4","124","Antoine Fuqua","Watched","","Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services."
"Hush","Horror","2016","6.6","81","Mike Flanagan","Watched","","A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window."
"Bridge of Spies","Drama","2015","7.6","142","Steven Spielberg","Watched","","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
"The Lego Movie","Action","2014","7.8","100","Phil Lord","Currently Watching","","An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis."
"Everest","Action","2015","7.1","121","Baltasar Kormákur","Watched","","The story of New Zealand's Robert 'Rob' Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
"Pixels","Action","2015","5.6","105","Chris Columbus","Watched","","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
"Robin Hood","Action","2010","6.7","140","Ridley Scott","Watched","","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
"The Wolverine","Action","2013","6.7","126","James Mangold","Watched","","When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons."
"John Carter","Action","2012","6.6","132","Andrew Stanton","Watched","","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
"Keanu","Action","2016","6.3","100","Peter Atencio","Watched","","When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back."
"The Gunman","Action","2015","5.8","115","Pierre Morel","Watchlist","","A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself."
"Steve Jobs","Drama","2015","7.2","122","Danny Boyle","Watched","","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
"Whisky Galore","Comedy","2016","5.0","98","Gillies MacKinnon","Watched","","Scottish islanders try to plunder cases of whisky from a stranded ship."
"Grown Ups 2","Comedy","2013","5.4","101","Dennis Dugan","Watched","","After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you."
"The Age of Adaline","Drama","2015","7.2","112","Lee Toland Krieger","Watched","","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
"The Incredible Hulk","Action","2008","6.8","112","Louis Leterrier","Watched","","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper."
"Couples Retreat","Comedy","2009","5.5","113","Peter Billingsley","Watched","","A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
"Absolutely Anything","Comedy","2015","6.0","85","Terry Jones","Watched","","A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment."
