"Title","Genre","Year","Rating","Duration","Director","Status","Language","Description"
"Resident Evil: The Final Chapter","Action","2016","5.6","107","Paul W.S. Anderson","Watchlist","","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse."
"Captain America: Civil War","Action","2016","7.9","147","Anthony Russo","Watched","","Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man."
"Interstellar","Drama","2014","8.6","169","Christopher Nolan","Watched","","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"Doctor Strange","Action","2016","7.6","115","Scott Derrickson","Watchlist","","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."
"The Magnificent Seven","Action","2016","6.9","132","Antoine Fuqua","Watched","","Seven gunmen in the old west gradually come together to help a poor village against savage thieves."
"5- 25- 77","Comedy","2007","7.1","113","Patrick Read Johnson","Watched","","Alienated, hopeful-filmmaker Pat Johnson's epic story growing up in rural Illinois, falling in love, and becoming the first fan of the movie that changed everything."
"Sausage Party","Comedy","2016","6.3","89","Greg Tiernan","Watched","","A sausage strives to discover the truth about his existence."
"Moonlight","Drama","2016","7.5","111","Barry Jenkins","Watched","","A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."
"Don't Fuck in the Woods","Horror","2016","2.7","73","Shawn Burkett","Watchlist","","A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan."
"The Founder","Drama","2016","7.2","115","John Lee Hancock","Watched","","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into one of the biggest restaurant businesses in the world with a combination of ambition, persistence, and ruthlessness."
"Lowriders","Drama","2016","6.3","99","Ricardo de Montreuil","Watched","","A young street artist in East Los Angeles is caught between his father's obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
"Pirates of the Caribbean: On Stranger Tides","Action","2011","6.7","136","Rob Marshall","Watchlist","","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"Miss Sloane","Drama","2016","7.3","132","John Madden","Watched","","In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
"Fallen","Drama","2016","5.6","91","Scott Hicks","Watched","","A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
"Star Trek Beyond","Action","2016","7.1","122","Justin Lin","Watchlist","","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
"The Last Face","Drama","2016","3.7","130","Sean Penn","Watched","","A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
"Star Wars: Episode VII - The Force Awakens","Action","2015","8.1","136","J.J. Abrams","Watched","","Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
"Underworld: Blood Wars","Action","2016","5.8","91","Anna Foerster","Currently Watching","","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
"Mother's Day","Comedy","2016","5.6","118","Garry Marshall","Watched","","Three generations come together in the week leading up to Mother's Day."
"John Wick","Action","2014","7.2","101","Chad Stahelski","Watched","","An ex-hitman comes out of retirement to track down the gangsters that took everything from him."
"The Dark Knight","Action","2008","9.0","152","Christopher Nolan","Watched","","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
"Silence","Drama","2016","7.3","161","Martin Scorsese","Watched","","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
"Don't Breathe","Horror","2016","7.2","88","Fede Alvarez","Watchlist","","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
"Me Before You","Drama","2016","7.4","106","Thea Sharrock","Watchlist","","A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of."
"Their Finest","Comedy","2016","7.0","117","Lone Scherfig","Watched","","A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them."
"Sully","Drama","2016","7.5","96","Clint Eastwood","Watched","","The story of Chesley Sullenberger, an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew."
"Batman v Superman: Dawn of Justice","Action","2016","6.7","151","Zack Snyder","Watched","","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
"The Autopsy of Jane Doe","Horror","2016","6.8","86","André Øvredal","Watched","","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets."
"The Girl on the Train","Drama","2016","6.5","112","Tate Taylor","Watchlist","","A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."
"Fifty Shades of Grey","Drama","2015","4.1","125","Sam Taylor-Johnson","Watched","","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
"The Prestige","Drama","2006","8.5","130","Christopher Nolan","Watched","","Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion."
"Kingsman: The Secret Service","Action","2014","7.7","129","Matthew Vaughn","Watchlist","","A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
"Patriots Day","Drama","2016","7.4","133","Peter Berg","Watched","","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible."
"Mad Max: Fury Road","Action","2015","8.1","120","George Miller","Watched","","A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max."
"Wakefield","Drama","2016","7.5","106","Robin Swicord","Watched","","A man's nervous breakdown causes him to leave his wife and live in his attic for several months."
"Deepwater Horizon","Action","2016","7.2","107","Peter Berg","Watched","","A dramatization of the April 2010 disaster, when the offshore drilling rig Deepwater Horizon exploded and created the worst oil spill in U.S. history."
"The Promise","Drama","2016","5.9","133","Terry George","Watched","","Set during the last days of the Ottoman Empire, The Promise follows a love triangle between Michael, a brilliant medical student, the beautiful and sophisticated Ana, and Chris - a renowned American journalist based in Paris."
"Allied","Action","2016","7.1","124","Robert Zemeckis","Watched","","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
"A Monster Calls","Drama","2016","7.5","108","J.A. Bayona","Watched","","A boy seeks the help of a tree monster to cope with his single mother's terminal illness."
"Collateral Beauty","Drama","2016","6.8","97","David Frankel","Watched","","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty."
"Zootopia","Comedy","2016","8.1","108","Byron Howard","Watched","","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
"Pirates of the Caribbean: At World's End","Action","2007","7.1","169","Gore Verbinski","Watchlist","","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
"The Avengers","Action","2012","8.1","143","Joss Whedon","Watchlist","","Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity."
"Inglourious Basterds","Drama","2009","8.3","153","Quentin Tarantino","Watchlist","","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
"Pirates of the Caribbean: Dead Man's Chest","Action","2006","7.3","151","Gore Verbinski","Watched","","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
"Ghostbusters","Action","2016","5.3","116","Paul Feig","Watchlist","","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
"Inception","Action","2010","8.8","148","Christopher Nolan","Watchlist","","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO."
"Captain Fantastic","Comedy","2016","7.9","118","Matt Ross","Watched","","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
"The Wolf of Wall Street","Comedy","2013","8.2","180","Martin Scorsese","Watched","","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
"Gone Girl","Drama","2014","8.1","149","David Fincher","Watchlist","","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
"Furious Seven","Action","2015","7.2","137","James Wan","Watched","","Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."
"Jurassic World","Action","2015","7.0","124","Colin Trevorrow","Watchlist","","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
"Live by Night","Drama","2016","6.4","129","Ben Affleck","Watchlist","","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan."
"Avatar","Action","2009","7.8","162","James Cameron","Watched","","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
"The Hateful Eight","Drama","2015","7.8","187","Quentin Tarantino","Watched","","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
"The Accountant","Action","2016","7.4","128","Gavin O'Connor","Watched","","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
"Prisoners","Drama","2013","8.1","153","Denis Villeneuve","Watchlist","","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
"Warcraft","Action","2016","7.0","123","Duncan Jones","Watched","","As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
"The Help","Drama","2011","8.1","146","Tate Taylor","Watched","","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
"War Dogs","Comedy","2016","7.1","114","Todd Phillips","Watched","","Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan."
"Avengers: Age of Ultron","Action","2015","7.4","141","Joss Whedon","Watched","","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
"The Nice Guys","Action","2016","7.4","116","Shane Black","Watchlist","","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
"Kimi no na wa","Drama","2016","8.6","106","Makoto Shinkai","Watched","","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
"The Void","Sci-Fi","2016","5.8","90","Jeremy Gillespie","Watchlist","","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
"Personal Shopper","Drama","2016","6.3","105","Olivier Assayas","Watched","","A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message."
"The Departed","Drama","2006","8.5","151","Martin Scorsese","Watchlist","","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"Legend","Drama","2015","7.0","132","Brian Helgeland","Watchlist","","Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s."
"Thor","Action","2011","7.0","115","Kenneth Branagh","Watched","","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"The Martian","Drama","2015","8.0","144","Ridley Scott","Watchlist","","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
"Contratiempo","Thriller","2016","7.9","106","Oriol Paulo","Watchlist","","A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover."
"The Man from U.N.C.L.E.","Action","2015","7.3","116","Guy Ritchie","Watchlist","","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
"Hell or High Water","Drama","2016","7.7","102","David Mackenzie","Currently Watching","","A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."
"The Comedian","Comedy","2016","5.4","120","Taylor Hackford","Watchlist","","A look at the life of an aging insult comic named Jack Burke."
"The Legend of Tarzan","Action","2016","6.3","110","David Yates","Watchlist","","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"All We Had","Drama","2016","5.8","105","Katie Holmes","Watched","","A mother struggles to make a better life for her daughter."
